ko,name,description,disease_category
"H02108","Basal laminar drusen","Basal laminar drusen (BLD, also termed cuticular drusen or early adult onset grouped drusen) is an early-onset-drusen phenotype that shows a pattern of uniform small (25 to 75 micrometer), slightly raised, yellow subretinal nodules randomly scattered in the macula. In later stages, these drusen often become more numerous, with clustered groups of drusen scattered throughout the retina. It has been reported that a variant in CFH gene is strongly associated with this disease.","Nervous system disease"
"H00835","Succinic semialdehyde dehydrogenase deficiency","Succinic semialdehyde dehydrogenase (SSADH) deficiency, also known as 4-hydroxybutyric aciduria (4-HBA), is an autosomal recessive inborn error of metabolism. Clinical features include intellectual disability with prominent deficits in expressive language, hypotonia, nonprogressive ataxia, and hyporeflexia. The causative gene is aldehyde dehydrogenase 5 family, member A1 (ALDH5A1) encoding SSADH. SSADH is deficient in affected individuals impairing the formation of succinic acid from succinic semialdehyde and leading to the increased production of 4-HBA.","Inherited metabolic disease"
"H00009","Adult T-cell leukemia","Adult T-cell leukemia (ATL) is one of the most aggressive hematologic malignancies and is caused by human T-cell leukemia virus type 1 (HTLV-1). The HTLV-1 Tax protein has been demonstrated to be the oncogenic protein of the virus. Tax may contribute to the process of carcinogenesis by a variety of mechanisms, including upregulating the expression of cellular genes involved in T cell growth and proliferation, including IL-2, IL-2R-alpha, and IL-15. However, ATL cells do not always need Tax expression in the later stage of leukemogenesis. Genetic and epigenetic changes should be implicated in such multistep leukemogenesis. Regarding genetic changes, mutation of p53, and deletion of p16 have been reported in ATL. Mutations of Fas gene are also reported in patients with ATL cells. However, such genetic changes were not frequently detected. In this regard, epigenetic change of p16/INK4A gene was more frequent in ATL cells, and accumulated according to the disease progression. This finding suggests that epigenetic change, including DNA methylation, plays an important role in the leukemogenesis of ATL.","Cancer"
"H01913","Renpenning syndrome","Renpenning syndrome is a group of X-linked mental retardation syndromes, caused by mutations in human polyglutamine-binding protein 1 (PQBP1) gene. It is characterized by intellectual deficiency, microcephaly, short stature, and microrchidia. PQBP1 plays important roles in neurodevelopment and neuronal functions. It is thought to interact with RNA polymerase, transcription factors, and spliceosome proteins, and thus to act as a transcription and splicing regulator.","Congenital malformation"
"H01779","Neuroferritinopathy","Neuroferritinopathy is a rare autosomal dominant disease caused by mutations in the ferritin light chain (FTL) gene leading to abnormal excessive iron accumulation in the brain, predominantly in the basal ganglia. Clinically, the disease presents as a chorea and dystonia. Clinical presentation may also include extrapyramidal and pyramidal tract signs as well as cerebellar ataxia, dysautonomia, cognitive decline, and psychiatric symptoms.","Neurodegenerative disease"
"H00499","Spondylocarpotarsal synostosis syndrome","Spondylocarpotarsal synostosis syndrome is an autosomal recessive disease characterized by the malsegmentation of vertebrae and the fusion of carpal and tarsal bones. Retinal anomalies and hearing loss are also observed. Spondylocarpotarsal synostosis syndrome is due to FLNB mutations.","Congenital malformation"
"H00204","Infantile Refsum disease","Infantile Refsum disease (IRD) is an autosomal recessive peroxisome biogenesis disorder, whose clinical and biochemical features are different from the adult form of Refsum disease. IRD is characterized by delayed development, mental retardation, hepatomegaly, and skeletal changes.","Inherited metabolic disease"
"H00036","Osteosarcoma","Osteosarcoma is the most common type of primary bone cancer. Approximately 900 new cases of osteosarcoma are diagnosed each year in the United States. The presentation of this disease is bimodal, with peaks in adolescence and after the age of 50 years. The tumors typically arise in the metaphyseal regions of long bones, with the distal femur, proximal tibia, and proximal humerus representing the three most common sites. Genomic amplification, especially of both the p53-binding MDM2 gene and the flanking SAS gene, plays an important role in the biology of these tumors. Alterations of Rb1 and c-myc are also common, and mutations have been reported in p53, p16INK4A, and CDKN2B.","Cancer"
"H00452","Buschke-Ollendorff syndrome","Buschke-Ollendorff syndrome (BOS), also known as Osteopoikilosis, is a disorders characterized by increased bone density. Loss-of-function mutations in LEMD3, which encodes an inner nuclear membrane protein can result in these conditions. LEMD3 is thought to be involved in Smad signaling.","Congenital malformation"
"H01580","Vitamin C deficiency","Scurvy occurs because of reduced intake or absorption of vitamin C, which is characterized by bleeding gums, impaired wound healing, petechiae, perifollicular hemorrhage, anemia, arthralgia and joint effusions, fatigue, depression, and sudden death. It appears to result primarily from the decreased synthesis of collagen, a major protein in the body dependent on vitamin C for its biosynthesis. However, this role of vitamin C does not explain all of the manifestations associated with scurvy. At-risk groups include the poor (because of reduced access to groceries), food faddists, and individuals with purported allergies to multiple fruit and vegetable products. Other at-risk groups include persons with gastrointestinal disease (e.g. colitis), anatomical abnormalities, poor dentition, cancer patients on chemotherapy, patients on hemodialysis, and psychiatric disorders (e.g. depression, schizophrenia, or anorexia). Alcoholic persons represent one of the largest groups at risk for scurvy because they may have poorly balanced diets and because alcohol decreases the absorption of vitamin C. The diagnosis of scurvy is generally based on clinical features and dietary history, and there is rapid resolution of signs and symptoms after vitamin C supplementation.","Hematologic disease; Cardiovascular disease; Metabolic disease"
