ko,name
"D01211","Leucovorin calcium"
"D04715","Levoleucovorin calcium"
"D11555","Calcium levofolinate hydrate"
"D11394","Sodium levofolinate"
"D00018","Ascorbic acid"
"D02122","Tetracycline hydrochloride"
"D00307","Doxycycline"
"D02129","Doxycycline hyclate"
"D03903","Doxycycline calcium"
"D00850","Minocycline hydrochloride"
"D00290","Demeclocycline hydrochloride"
"D01053","Penicillin G potassium"
"D05408","Penicillin G sodium"
"D10791","Nusinersen sodium"
"D11559","Onasemnogene abeparvovec"
"D11406","Risdiplam"
"D02112","Heparin sodium"
"D00327","Fluoxymesterone"
"D00408","Methyltestosterone"
"D00958","Testosterone enanthate"
"D00287","Cyclophosphamide"
"D00583","Thiotepa"
"D02115","Methotrexate sodium"
"D01155","Gemcitabine hydrochloride"
"D01223","Capecitabine"
"D01068","Vinblastine sulfate"
"D00491","Paclitaxel"
"D07866","Docetaxel"
"D02165","Docetaxel"
"D01275","Doxorubicin hydrochloride"
"D02214","Epirubicin hydrochloride"
"D04645","Ixabepilone"
"D10372","Palbociclib"
"D10979","Ribociclib succinate"
"D10688","Abemaciclib"
"D02714","Everolimus"
"D04024","Lapatinib ditosylate"
"D10898","Neratinib maleate"
"D11141","Tucatinib"
"D11011","Alpelisib"
"D03257","Trastuzumab"
"D05446","Pertuzumab"
"D09980","Trastuzumab emtansine"
"D10574","Pembrolizumab"
"D10773","Atezolizumab"
"D11529","Trastuzumab deruxtecan"
"D09730","Olaparib"
"D10733","Talazoparib tosylate"
"D08914","Eribulin mesylate"
"D11934","Pertuzumab, trastuzumab and hyaluronidase"
"D00573","Goserelin acetate"
"D00966","Tamoxifen citrate"
"D00967","Toremifene citrate"
"D01161","Fulvestrant"
"D00960","Anastrozole"
"D00964","Letrozole"
"D00963","Exemestane"
"D04071","Estrogens, esterified"
"D10446","Margetuximab"
"D10985","Sacituzumab govitecan"
"D11068","Letrozole and ribociclib"
"D11560","Trastuzumab and hyaluronidase"
"D00288","Dacarbazine"
"D09996","Vemurafenib"
"D10104","Dabrafenib mesylate"
"D11053","Encorafenib"
"D10176","Trametinib dimethyl sulfoxide"
"D10615","Cobimetinib fumarate"
"D10604","Binimetinib"
"D04603","Ipilimumab"
"D10316","Nivolumab"
"D09966","Talimogene laherparepvec"
"D02745","Interferon alfa-2b"
"D02748","Peginterferon alfa-2b"
"D00748","Aldesleukin"
"D00266","Chlorambucil"
"D00254","Carmustine"
"D00363","Lomustine"
"D02197","Vincristine sulfate"
"D02177","Bleomycin sulfate"
"D00478","Procarbazine hydrochloride"
"D09587","Brentuximab vedotin"
"D02312","Methylene blue"
"D11928","Setmelanotide acetate"
"D02176","Levocarnitine"
"D02030","Levocarnitine chloride"
"D02461","Penicillin G procaine"
"D05029","Midostaurin"
"D03353","Dalteparin sodium"
"D03213","Apixaban"
"D00926","Vancomycin hydrochloride"
"D00128","Bacitracin"
"D01990","Clindamycin palmitate hydrochloride"
"D02132","Clindamycin hydrochloride"
"D00249","Calcitonin salmon"
"D00314","Etidronate disodium"
"D00941","Pamidronate disodium"
"D00939","Alendronate sodium"
"D00942","Risedronate sodium"
"D03234","Sodium risedronate hydrate"
"D01968","Zoledronic acid"
"D11570","Risedronate sodium monohydrate"
"D00747","Interferon gamma-1b"
"D03230","Insulin human"
"D04477","Insulin lispro"
"D04475","Insulin aspart"
"D04540","Insulin glulisine"
"D03250","Insulin glargine"
"D04539","Insulin detemir"
"D09727","Insulin degludec"
"D05595","Pramlintide acetate"
"D11359","Dasiglucagon"
"D00423","Ribavirin"
"D02737","Palivizumab"
"D03207","Alglucosidase alfa"
"D01010","Levothyroxine sodium"
"D00351","Ketoconazole"
"D00587","Sulfadiazine"
"D00676","Sumatriptan succinate"
"D00180","Alprostadil"
"D00142","Methotrexate"
"D00161","Mercaptopurine"
"D03546","Clofarabine"
"D02698","Teniposide"
"D01264","Daunorubicin hydrochloride"
