from,to
"D02168","H00030"
"D10267","H01633"
"D00107","H01358"
"D00754","H00010"
"D00655","H00612"
"D00973","H00630"
"D00973","H01507"
"D00276","H01424"
"D00942","H01709"
"D10605","H00412"
"D01915","H01637"
"D00346","H00342"
"D04301","H00368"
"D00253","H00057"
"D03065","H01459"
"D10450","H00014"
"D11022","H01609"
"D05429","H01714"
"D00618","H01633"
"D02115","H00031"
"D00979","H00237"
"D10813","H00149"
"D00951","H01639"
"D00401","H01645"
"D09731","H00014"
"D11040","H00024"
"D00978","H00630"
"D00363","H00007"
"D03978","H01132"
"D00409","H00360"
"D10095","H00048"
"D06677","H01563"
"D00488","H00361"
"D00850","H00325"
"D02126","H00361"
"D00563","H01646"
"D00240","H01176"
"D11068","H00031"
"D10501","H01714"
"D06886","H01490"
"D04023","H00014"
"D10766","H00014"
"D11008","H00837"
"D00287","H00002"
"D00473","H01521"
"D00975","H00630"
"D00238","H00630"
"D00292","H01357"
"D00407","H01672"
"D02745","H00038"
"D00598","H00612"
"D09355","H01615"
"D02229","H01621"
"D00292","H01674"
"D00786","H00057"
"D00368","H01046"
"D10500","H00409"
"D02129","H01415"
"D10316","H00048"
"D00783","H01608"
"D04790","H01615"
"D02177","H00007"
"D10722","H01472"
"D10307","H00978"
"D10559","H02301"
"D00140","H00354"
"D11107","H00003"
"D01968","H01709"
"D00518","H00746"
"D11990","H01613"
"D00751","H01604"
"D10699","H00205"
"D01583","H01299"
"D00978","H01586"
"D08357","H01519"
"D11579","H01635"
"D02764","H00366"
"D00141","H01674"
"D00983","H01466"
"D02501","H00363"
"D00355","H01634"
"D02115","H02418"
"D03546","H00002"
"D10398","H00024"
"D05870","H00004"
"D01982","H00412"
"D02166","H00001"
"D00290","H00310"
"D03505","H01558"
"D00979","H00216"
"D01223","H00031"
"D02122","H00354"
"D02597","H01466"
"D04603","H00038"
"D02574","H01895"
"D10133","H01646"
"D11570","H00437"
"D02113","H01635"
"D00724","H01602"
"D00881","H01316"
"D00203","H00363"
"D11114","H01634"
"D11044","H00003"
"D00583","H00083"
"D02597","H01507"
"D03441","H01507"
"D00272","H01633"
"D00088","H00080"
"D11525","H00022"
"D03505","H00246"
"D00736","H00210"
"D11451","H01445"
"D01251","H00315"
"D10557","H01635"
"D10105","H00413"
"D01633","H00003"
"D10309","H01649"
"D10691","H00155"
"D01053","H00306"
"D00488","H00435"
"D05919","H01331"
"D09587","H01463"
"D00983","H00079"
"D01277","H01614"
"D00407","H00216"
"D00823","H01703"
"D03940","H01594"
"D10574","H02421"
"D03903","H00297"
"D02197","H02418"
"D00140","H00343"
"D11472","H02398"
"D02122","H00297"
"D08971","H00010"
"D00292","H00079"
"D05589","H01892"
"D05408","H00332"
"D00146","H01694"
"D10137","H00048"
"D00978","H00080"
"D00292","H01698"
"D10441","H00612"
"D01441","H01599"
"D00719","H01634"
"D04999","H01895"
"D00593","H00409"
"D00583","H00027"
"D00812","H01646"
"D00850","H01445"
"D00307","H00297"
"D09894","H00126"
"D11072","H01490"
"D00669","H01600"
"D00307","H00315"
"D10773","H00022"
"D00985","H01595"
"D00724","H01634"
"D02129","H00110"
"D00751","H01695"
"D00292","H01586"
"D06478","H01563"
"D00088","H01717"
"D11108","H00014"
"D00754","H01473"
