from,to
"mtl","H01472"
"rms","H00323"
"cdu","H00363"
"T40031","H01550"
"ecu","H01336"
"saun","H01455"
"ypp","H00297"
"T40078","H00366"
"pgu","H00363"
"hif","H01330"
"T40018","H00389"
"T40027","H01545"
"T40060","H00380"
"coc","H01407"
"T40363","H02442"
"T40095","H01063"
"T40023","H00378"
"nse","H01140"
"T40332","H01421"
"bdu","H00427"
"ccu","H01408"
"T40329","H00379"
"T40080","H00368"
"T40055","H01536"
"T40334","H01421"
"T40072","H00370"
"bal","H00328"
"mchi","H01458"
"mchi","H02029"
"mmk","H01350"
"T40040","H00398"
"abu","H01379"
"aap","H01068"
"bre","H00427"
"T40066","H00048"
"tmf","H02393"
"T40007","H00385"
"T40097","H01418"
"hhm","H01332"
"ldo","H00359"
"T40028","H01547"
"T40030","H00382"
"ypg","H00297"
"tasa","H02428"
"T40046","H01538"
"T40101","H00371"
"bcy","H00329"
"mao","H00286"
"tgo","H00435"
"T40062","H02163"
"pfib","H00218"
"clec","H02416"
"bbr","H01083"
"T40086","H00015"
"T40035","H00398"
"ear","H00301"
"T40057","H00382"
"cun","H01051"
"T40056","H01537"
"T40034","H00396"
"T40075","H00369"
"T40087","H00044"
"tva","H00812"
"T40029","H01548"
"T40032","H00382"
"lma","H00359"
"T40331","H01326"
"ssa","H00334"
"ypd","H00297"
"kqv","H00301"
"hil","H01366"
"T40053","H01534"
"lkm","H00355"
"mho","H00388"
"sapo","H02392"
"T40033","H01696"
"T40068","H00411"
"act","H01328"
"btk","H01399"
"T40100","H01420"
"ype","H00297"
"bqu","H00326"
"rhe","H00323"
"bbu","H01493"
"nda","H01451"
"trm","H01408"
"T40006","H01542"
"T40004","H00412"
"T40123","H01430"
"T40350","H00399"
"T40105","H00393"
"btu","H00427"
"T40079","H00367"
"T40096","H00383"
"T40123","H00975"
"T40007","H01543"
"T40366","H02442"
"ctu","H00300"
"T40001","H01563"
"bbs","H00353"
"gbr","H01049"
"T40328","H00383"
"T40047","H01539"
"eoj","H00277"
"T40062","H00382"
"T40088","H00029"
"T40365","H02442"
"afv","H01328"
"T40358","H00390"
"T40030","H01549"
"see","H00113"
"T40056","H00379"
"mmm","H01458"
"fnu","H01408"
"T40071","H00382"
"T40050","H00383"
"kqu","H00301"
"T40096","H01416"
"T40079","H00007"
"T40063","H02165"
"T40051","H01555"
"lhk","H01337"
"loa","H01104"
"T40102","H01320"
"T40066","H02162"
"T40001","H00406"
"T40345","H00376"
"T40088","H00016"
"gla","H00362"
"T40048","H00382"
"T40021","H00390"
"T40088","H00025"
"T40008","H00385"
"ovi","H01617"
"mche","H01458"
"T40011","H00383"
"T40005","H00385"
"T40089","H00040"
"T40054","H00379"
"ecw","H00280"
"fva","H01466"
"ccu","H01331"
"T40005","H02173"
"aph","H01139"
"T40012","H00283"
"T40049","H00382"
"cpv","H00356"
"T40107","H01430"
"T40330","H02173"
"rco","H00323"
"T40070","H00395"
"loa","H02028"
"T40328","H01322"
"T40327","H00379"
"bmy","H01086"
"T40026","H00382"
"klw","H00301"
"tcr","H00358"
"cim","H01319"
"eoi","H00277"
"cgi","H00364"
"T40004","H00048"
"bmb","H00325"
"T40036","H00398"
"T40006","H00385"
"T40360","H02352"
"T40019","H00389"
"pkn","H00361"
"T40065","H00383"
"T40038","H00398"
"T40049","H01553"
"T40034","H01429"
"req","H01021"
"bcw","H00427"
"cvi","H01353"
"T40329","H02171"
"T40028","H00379"
"pbn","H01329"
"T40085","H02162"
"bmic","H01060"
"T40031","H00382"
"llo","H00311"
"ctc","H00337"
"T40011","H00284"
"gbe","H01167"
"caur","H00363"
"T40045","H00401"
"T40368","H02442"
"T40344","H00376"
"tsp","H01099"
"sha","H01175"
"lmi","H00359"
"T40032","H01546"
"egl","H01153"
"mlb","H00344"
"T40058","H00383"
"T40039","H00398"
"T40087","H00016"
"sed","H00113"
"hdu","H00305"
"sgo","H01443"
"mche","H01462"
"T40001","H00008"
"T40087","H00025"
"T40103","H00393"
"T40100","H00371"
"mshg","H01458"
"ypx","H00297"
"mdr","H01458"
"ols","H01408"
"T40084","H00404"
"ssck","H01499"
"T40088","H00044"
"bpa","H00319"
"bhr","H00427"
"T40027","H00382"
"lst","H00355"
"shx","H01045"
"cko","H00302"
"T40042","H00400"
"bgr","H00326"
"T40103","H01327"
"mct","H01072"
"T40333","H02173"
"T40069","H00402"
"T40017","H00389"
"T40088","H00030"
"T40064","H02164"
"T40004","H02162"
"T40076","H00369"
"T40057","H00384"
"ehi","H00360"
"aap","H00334"
"sew","H00113"
"T40100","H01320"
"T40094","H01430"
"ein","H01336"
"T40010","H02173"
"T40006","H02173"
"T40359","H02351"
"bhz","H01077"
"uue","H00388"
"T40041","H00399"
"T40046","H00391"
"mrt","H01652"
"T40024","H00378"
"T40026","H01540"
"ser","H01401"
"T40346","H00376"
"cgr","H00363"
"T40001","H00041"
"nfa","H00345"
"T40087","H00030"
"T40126","H02354"
"T40048","H00381"
"T40087","H00029"
"set","H00113"
"phu","H01054"
"nai","H01092"
"gvg","H01380"
"ovi","H01628"
"T40068","H02162"
"spe","H00303"
"spq","H00112"
"T40067","H02162"
"efa","H00340"
"banc","H00326"
"tpr","H01050"
"mnv","H01458"
"tve","H01316"
"sec","H00113"
"T40361","H02398"
"T40091","H01429"
"T40094","H00975"
"T40082","H00372"
