ko,name,taxonomy
"T40003","Human T-lymphotropic virus 1"
"T40328","Kyasanur forest disease virus"
"T40027","O'nyong-nyong virus"
"T40079","Human herpesvirus 4 (Epstein-Barr virus)"
"smf","Streptobacillus moniliformis"
"T40006","Machupo mammarenavirus"
"tmf","Talaromyces marneffei"
"sha","Staphylococcus haemolyticus"
"T40045","Human respiratory syncytial virus"
"T40064","Sandfly fever Naples virus"
"T40062","Oropouche virus"
"T40359","Cowpox virus"
"T40001","Human immunodeficiency virus 1 (HIV-1)"
"T40002","Human immunodeficiency virus 2 (HIV-2)"
"erh","Erysipelothrix rhusiopathiae"
"T40007","Guanarito mammarenavirus"
"T40008","Sabia mammarenavirus"
"T40087","Human papillomavirus type 16"
"T40088","Human papillomavirus type 18"
"T40091","Lymphocytic choriomeningitis mammarenavirus"
"T40107","Norovirus"
"T40068","Hepatitis A virus (HAV)"
"T40004","Hepatitis B virus (HBV)"
"T40066","Hepatitis C virus (HCV)"
"T40085","Hepatitis D virus (HDV)"
"T40067","Hepatitis E virus (HEV)"
"T40063","Colorado tick fever virus"
"T40043","Human parainfluenza virus 1"
"T40042","Human parainfluenza virus 2"
"T40044","Human parainfluenza virus 3"
"T40122","Human parainfluenza virus 4"
"abu","Arcobacter butzleri"
"sapo","Scedosporium apiospermum"
"T40366","Rhinovirus A"
"T40367","Rhinovirus B"
"T40368","Rhinovirus C"
"T40362","Human coronavirus OC43"
"T40363","Human coronavirus HKU1"
"T40364","Human coronavirus 229E"
"T40365","Human coronavirus NL63"
"mche","Mycobacterium chelonae"
"bmy","Brugia malayi"
"loa","Loa loa"
"rri","Rickettsia rickettsii"
"rco","Rickettsia conorii"
"rfe","Rickettsia felis"
"rms","Rickettsia massiliae"
"raf","Rickettsia africae"
"rja","Rickettsia japonica"
"rhe","Rickettsia heilongjiangensis"
"T40022","Rabies virus (RABV)"
"T40095","Human metapneumovirus"
"T40058","Omsk hemorrhagic fever virus"
"T40050","Alkhumra hemorrhagic fever virus"
"T40065","Apoi virus"
"T40096","SFTS virus HB29"
"T40011","Crimean-Congo hemorrhagic fever virus"
"coc","Capnocytophaga ochracea"
"T40057","Yellow fever virus"
"sng","Simkania negevensis"
"T40072","JC polyomavirus"
"T40124","Molluscum contagiosum virus"
"tsp","Trichinella spiralis"
"T40052","Japanese encephalitis virus"
"T40327","Saint Louis encephalitis virus"
"T40055","Murray Valley encephalitis virus"
"T40329","Rocio virus"
"T40053","Western equine encephalitis virus"
"T40054","Eastern equine encephalitis virus"
"T40028","Venezuelan equine encephalitis virus"
"T40056","La Crosse virus"
"mpe","Mycoplasma penetrans"
"clec","Cimex lectularius"
"ssck","Sporothrix schenckii"
"rty","Rickettsia typhi"
"mchi","Mycobacterium chimaera"
"bmb","Brucella abortus"
"bms","Brucella suis"
"saun","Staphylococcus aureus"
"T40092","Rotavirus A"
"T40123","Human rotavirus B"
"T40094","Rotavirus C"
"phu","Pediculus humanus corporis (body louse)"
"efa","Enterococcus faecalis"
"tasa","Trichosporon asahii"
"T40023","Australian bat lyssavirus"
"T40024","European bat lyssavirus 1"
"T40025","European bat lyssavirus 2"
"fnu","Fusobacterium nucleatum"
"tde","Treponema denticola"
"tpk","Treponema putidum"
"trm","Treponema sp. OMZ 838"
"ols","Olsenella uli"
"ccu","Cryptobacterium curtum"
"T40100","Human mastadenovirus B"
"T40102","Human mastadenovirus D"
"T40101","Human mastadenovirus E"
"ser","Staphylococcus epidermidis"
"T40005","Junin mammarenavirus"
"T40048","Dengue virus"
"T40029","West Nile virus"
"T40049","Zika virus"
"T40026","Chikungunya virus"
"T40032","Mayaro virus"
"T40071","Ross River virus"
"T40030","Rift Valley fever virus"
"T40031","Bunyamwera virus"
"aje","Histoplasma capsulatum"
"T40344","Poliovirus 1"
"T40345","Poliovirus 2"
"T40346","Poliovirus 3"
"T40035","Influenza A virus (A/Puerto Rico/8/1934(H1N1))"
"T40036","Influenza A virus (A/Korea/426/1968(H2N2))"
"T40037","Influenza A virus (A/New York/392/2004(H3N2))"
"T40038","Influenza A virus (A/Hong Kong/1073/99(H9N2))"
"T40039","Influenza B virus"
"T40040","Influenza C virus (C/Ann Arbor/1/50)"
"bbs","Borrelia bissettii"
"bmay","Borrelia mayonii"
"T40073","Human herpesvirus 1"
"T40074","Human herpesvirus 2"
"T40046","Hendra virus"
"T40047","Nipah virus"
"gbr","Gordonia bronchialis"
"T40034","Mumps virus"
"gla","Giardia lamblia"
"ctu","Cronobacter turicensis"
"cal","Candida albicans"
"cdu","Candida dubliniensis"
"ctp","Candida tropicalis"
"cgr","Candida glabrata"
"pgu","Meyerozyma guilliermondii"
"caur","Candida auris"
"bbr","Bordetella bronchiseptica"
"bhz","Bordetella hinzii"
"hav","Hafnia alvei"
"vfu","Vibrio furnissii"
"T40020","Sin Nombre virus"
"T40021","Andes virus"
"T40358","Bayou virus"
"cgi","Cryptococcus gattii"
"T40041","Influenza A virus (A/goose/Guangdong/1/1996(H5N1))"
"T40350","Influenza A virus (A/Shanghai/02/2013(H7N9))"
"ovi","Opisthorchis viverrini"
"lst","Leptospira santarosai"
"lkm","Leptospira kmetyi"
"kqu","Klebsiella quasipneumoniae"
"ear","Klebsiella aerogenes"
"kqv","Klebsiella quasivariicola"
"klw","Klebsiella sp. WCHKl090001"
"ctc","Clostridium tetani"
"rsv","Rickettsia slovaca"
"btk","Bacillus thuringiensis"
"elh","Escherichia coli O78:H11"
"ecw","Escherichia coli O139:H28"
"gbe","Granulibacter bethesdensis"
"T40081","Human herpesvirus 8 (KSHV)"
"T40086","Simian virus 40 (SV40)"
"pfib","Pandoraea fibrosis 6399"
"eab","Escherichia coli ABU 83972"
"hif","Haemophilus influenzae biogroup aegyptius"
"lhk","Laribacter hongkongensis HLHK9"
"T40089","Human papillomavirus types 5, 8"
"mao","Mycobacterium avium subsp. paratuberculosis"
"cvi","Chromobacterium violaceum ATCC 12472"
"ecu","Encephalitozoon cuniculi"
"ein","Encephalitozoon intestinalis"
"ssp","Staphylococcus saprophyticus"
"mlen","Mammaliicoccus lentus"
"plf","Pantoea ananatis"
"T40360","Vaccinia virus"
"T40015","Marburg marburgvirus"
"nse","Neorickettsia sennetsu"
"T40069","SARS coronavirus"
"cim","Coccidioides immitis"
"cpw","Coccidioides posadasii"
"T40331","Coxsackievirus A16"
"T40343","Enterovirus A71"
"afm","Aspergillus fumigatus"
"afv","Aspergillus flavus"
"act","Aspergillus clavatus"
"T40126","Orf virus"
"ech","Ehrlichia chaffeensis"
"gvg","Gardnerella vaginalis"
"T40084","Human parvovirus B19"
"ssn","Shigella sonnei"
"T40361","SARS-CoV-2"
"tgo","Toxoplasma gondii"
"ype","Yersinia pestis CO92 (biovar Orientalis)"
"ypk","Yersinia pestis KIM (biovar Mediaevalis)"
"ypp","Yersinia pestis Pestoides F"
"ypg","Yersinia pestis Angola"
"ypd","Yersinia pestis D106004"
"ypx","Yersinia pestis D182038"
"pbn","Paracoccidioides brasiliensis"
"pbl","Paracoccidioides lutzii"
"abe","Trichophyton benhamiae"
"tve","Trichophyton verrucosum"
"T40103","Enterovirus A (Coxsackievirus A)"
"T40077","Macacine herpesvirus 1"
"T40083","Monkeypox virus"
"T40060","Powassan virus"
"T40061","Tick-borne encephalitis virus"
"bmic","Babesia microti"
"bbo","Babesia bovis"
"T40016","Hantaan virus"
"T40017","Seoul virus"
"T40018","Dobrava-Belgrade virus"
"T40019","Puumala virus"
"cun","Corynebacterium ulcerans"
"nfa","Nocardia farcinica"
"ncy","Nocardia cyriacigeorgica"
"llo","Legionella longbeachae"
"lsh","Legionella sainthelensi"
"bcy","Bacillus cytotoxicus"
"fva","Fusobacterium varium"
"T40033","Measles virus"
"spq","Salmonella enterica serovar Paratyphi B"
"sei","Salmonella enterica serovar Paratyphi C"
"bqu","Bartonella quintana"
"mle","Mycobacterium leprae"
"mlb","Mycobacterium leprae"
"tpr","Tsukamurella paurometabola"
"mho","Mycoplasma hominis"
"uue","Ureaplasma urealyticum"
"aap","Aggregatibacter aphrophilus"
"lgv","Lactococcus garvieae"
"T40082","Variola virus"
"nai","Necator americanus"
"T40010","Lassa mammarenavirus"
"bpt","Bordetella petrii"
"ccm","Capnocytophaga canimorsus"
"bpa","Bordetella parapertussis"
"bhe","Bartonella henselae (Cat-scratch disease)"
"bbk","Bartonella bacilliformis (Oroya fever and bacillary angiomatosis)"
"bgr","Bartonella grahami (Neuroretinitis)"
"banc","Candidatus Bartonella ancashi"
"nbr","Nocardia brasiliensis"
"nda","Nocardiopsis dassonvillei"
"sec","Salmonella enterica subsp. enterica serovar Choleraesuis"
"see","Salmonella enterica subsp. enterica serovar Newport"
"sew","Salmonella enterica subsp. enterica serovar Schwarzengrund"
"sed","Salmonella enterica subsp. enterica serovar Dublin"
"set","Salmonella enterica subsp. enterica serovar Enteritidis"
"seec","Salmonella enterica subsp. enterica Serovar Cubana"
"ses","Salmonella enterica subsp. arizonae serovar 62:z4,z23:- RSK2980"
"mmi","Mycobacterium marinum"
"mmm","Mycobacterium sp. MOTT36Y"
"mhad","Mycobacterium haemophilum"
"mshg","Mycobacterium shigaense"
"mfj","Mycobacterium florentinum"
"mnv","Mycobacterium noviomagense"
"mdr","Mycobacterium doricum"
"mjd","Mycobacterium sp. JDM601"
"maic","Mycolicibacterium aichiense"
"mij","Mycolicibacterium insubricum"
"malv","Mycolicibacterium alvei"
"maub","Mycolicibacterium aubagnense"
"bal","Bacillus cereus"
"bbu","Borrelia burgdorferi"
"mgl","Malassezia globosa"
"mrt","Malassezia restricta"
"sam","Staphylococcus aureus"
"req","Rhodococcus equi"
"smar","Serratia marcescens"
"spe","Serratia proteamaculans"
"T40097","Human papillomavirus type 6b"
"T40098","Human papillomavirus type 10"
"T40080","Human herpesvirus 5 (Human cytomegalovirus)"
"T40070","Rubella virus"
"svi","Saccharomonospora viridis"
"pvx","Plasmodium vivax"
"pkn","Plasmodium knowlesi H"
"lma","Leishmania major"
"lif","Leishmania infantum"
"lmi","Leishmania mexicana MHOM/GT/2001/U1103"
"ldo","Leishmania donovani"
"lbz","Leishmania braziliensis"
"lpan","Leishmania panamensis"
"T40078","Human herpesvirus 3"
"mct","Moraxella catarrhalis"
"hdu","Haemophilus ducreyi"
"cko","Citrobacter koseri (infants and immunocompromised)"
"mtl","Mycobacterium tuberculosis"
"ssa","Streptococcus sanguinis"
"sgo","Streptococcus gordonii"
"raj","Rothia aeria"
"eav","Enterococcus avium"
"std","Streptococcus pseudopneumoniae"
"scf","Streptococcus parasanguinis"
"tcr","Trypanosoma cruzi"
"T40104","Enterovirus B"
"T40105","Enterovirus C"
"T40106","Enterovirus D"
"ehi","Entamoeba histolytica"
"aha","Aeromonas hydrophila"
"acav","Aeromonas caviae"
"T40075","Human herpesvirus 6B"
"T40076","Human herpesvirus 7"
"T40090","Middle East respiratory syndrome coronavirus"
"cpv","Cryptosporidium parvum"
"cho","Cryptosporidium hominis"
"sez","Streptococcus equi"
"mul","Mycobacterium ulcerans"
"smm","Schistosoma mansoni"
"shx","Schistosoma haematobium"
"T40334","Human enterovirus 70"
"T40332","Human coxsackievirus A24"
"tva","Trichomonas vaginalis"
"aph","Anaplasma phagocytophilum"
"msym","Malassezia sympodialis"
"eoj","Escherichia coli O26:H11"
"eoi","Escherichia coli O111:H-"
"eoh","Escherichia coli O103:H2"
"T40012","Zaire ebolavirus"
"T40014","Sudan ebolavirus"
"T40125","Tai Forest ebolavirus"
"T40121","Bundibugyo virus"
"hhm","Helicobacter heilmannii"
"T40051","Merkel cell polyomavirus (MCPyV)"
"mmk","Morganella morganii subsp. morganii KT"
"bre","Borrelia recurrentis"
"bdu","Borrelia duttonii"
"bhr","Borrelia hermsii"
"btu","Borrelia turicatae"
"bcw","Borrelia crocidurae"
"bgh","Blastomyces gilchristii"
"rak","Rickettsia akari"
"ecg","Escherichia coli O127:H6"
"egl","Echinococcus granulosus"
"hil","Haemophilus influenzae (nontypeable)"
"T40330","Chapare mammarenavirus"
"T40333","Lujo mammarenavirus"
